#: table_doi: 10.17182/hepdata.76839.v1/t3
#: name: Table 3
#: description: Measured non-prompt $X(3872) / \psi(2S)$ production ratio using the single-lifetime fit model.
#: data_file: Table3.yml
#: keyword reactions: P P --> X(3872) X | P P --> Psi(2S) X
#: keyword observables: non-prompt ratio
#: keyword phrases: Proton-Proton Scattering | Psi(2S) | X(3872) | Non-prompt | Lifetime
#: keyword cmenergies: 8000.0
#: ABS(y(Psi(2S) )),,,< 0.75
#: ABS(y(X(3872) )),,,< 0.75
#: SQRT(S) [GeV],,,8000.0
PT [GeV],PT [GeV] LOW,PT [GeV] HIGH,non-prompt ratio [],stat +,stat -,sys +,sys -
10.9,12.0,10.0,0.0429,0.0157,-0.0157,0.0031,-0.0031
13.5,16.0,12.0,0.051,0.007,-0.007,0.0021,-0.0021
18.2,22.0,16.0,0.0438,0.0053,-0.0053,0.0013,-0.0013
26.6,40.0,22.0,0.0334,0.0057,-0.0057,0.0013,-0.0013
47.6,70.0,40.0,0.0311,0.016,-0.016,0.0026,-0.0026

