10.0 11.0 0.378 0.023 0.022
11.0 12.0 0.394 0.024 0.028
12.0 13.5 0.431 0.022 0.020
13.5 15.0 0.456 0.025 0.028
15.0 18.0 0.487 0.024 0.017
18.0 30.0 0.572 0.025 0.028
